ID,Foerderung,Website,Frage,Hilfestellung,Denkmalschutz,Maßnahmen nicht begonnen,min. Alter,max. Alter
2274,Steuerermäßigung für energetische Maßnahmen (§ 35c EStG),https://www.gesetze-im-internet.de/estg/__35c.html,Befindet sich das begünstigte Objekt innerhalb der Europäischen Union oder des Europäischen Wirtschaftsraums?,,,,,
2290,Steuerlich erhöhte Absetzungen bei Gebäuden in Sanierungsgebieten und städtebaulichen Entwicklungsbereichen (§ 7h EStG),https://esth.bundesfinanzministerium.de/esth/2021/A-Einkommensteuergesetz/II-Einkommen/3-Gewinn/Paragraf-7h/inhalt.html,Befindet sich das Gebäude in einem förmlich festgelegten Sanierungsgebiet oder städtebaulichen Entwicklungsbereich?,,,,,
2510,,,Befindet sich das Gebäude in einem Heizsystem mit Kohle oder Öl?,,,,,
2312,,,,,,,,
2304,Bundesförderung für effiziente Gebäude (BEG) – Energieberatung für Wohngebäude,https://www.bafa.de/DE/Energie/Energieberatung/Energieberatung_Wohngebaeude/energieberatung_wohngebaeude_node.html,,,,,,
1639,,,Befindet sich die angestrebte Ladeinfrastruktur auf einer angrenzenden städtischen Fläche?,,,,,
2530,progres.nrw - Klimaschutztechnik: Wohngebäude im Passivhaus-Standard einschließlich Lüftungsanlagen,https://www.bra.nrw.de/energie-bergbau/foerderprogramme-fuer-klimaschutz-und-energiewende/foerderbereiche/gebaeude-neu-und-umbauten/foerderung-von-wohngebaeuden-im-passivhaus-standard-einschliesslich-lueftungsanlagen,,,,,,
2174,,,Beginnen die Sanierungsarbeiten innerhalb von 12 Monaten nach Zugang der Fördervereinbarung?,,,,,
1982,Kommunales Modernisierungsprogramm Bochum,https://www.bochum.de/Amt-fuer-Stadtplanung-und-Wohnen/Dienstleistungen-und-Infos/Modernisierungsprogramm,Beinhaltet das Gebäude mehr als zwei Wohneinheiten?,,,,,
2266,,,Besitzen die eingesetzten PVT-Kollektoren ein Solar-Keymark-Zertifikat oder sind sie im BAFA-Programm für Erneuerbare Energien/Wärmepumpen zugelassen?,,,,,
1948,Klimafreundliches Wohnen und Arbeiten - Technische Anlagen zur Nutzung der Solarenergie: Thermische Solaranlagen (bei Bestandsbauten),https://www.duesseldorf.de/umweltamt/projekte/klimafreundliches-wohnen-und-arbeiten,Besitzen die Kollektoren eine gültige Zertifizierung mit dem Prüfzeichen „Solar Keymark“?,,,,,
1602,Klimafreundliches Wohnen und Arbeiten - Technische Anlagen zur Nutzung der Solarenergie: Speichersysteme für Photovoltaik - Anlagen (bei Bestands- und Neubauten),https://www.duesseldorf.de/umweltamt/projekte/klimafreundliches-wohnen-und-arbeiten,Besteht für die Maßnahme eine Zeitwertersatzgarantie für einen Zeitraum von 10 Jahren?,,,,,
1545,,,Betragen die förderfähigen Kosten im Durchschnitt mindestens 5.000 € je Wohnung?,,,,,
2499,,,Betragen die zu beantragenden Zuwendungen mindestens 350 €?,,,,,
2298,,,Betragen die zuwendungsfähigen Ausgaben je Projekt mindestens 25.000 € (bei kommunalen Gebietskörperschaften) oder mindestens 10.000 € (bei allen anderen Antragstellern)?,,,,,
1747,Energetische Förderung im Rahmen des Hessischen Energiegesetzes: Maßnahmen zur Steigerung der Energieeffizienz und zur Nutzung erneuerbarer Energien (§ 5 HEG),https://www.wibank.de/wibank/energetische-foerderung-im-rahmen-des-heg/energetische-foerderung-heg-312036,Betragen die zuwendungsfähigen Ausgaben mindestens 12.500 €?,,,,,
1671,,,Beträgt das förderfähige Mindestinvestitionsvolumen für die Maßnahme mindestens 2.000 € brutto?,,,,,
1727,,,Beträgt das förderfähige Mindestinvestitionsvolumen für die Maßnahme mindestens 2.000 € brutto?,,,,,
2165,,,Beträgt der Flächenverlust durch die PV-Anlage bei dualer Nutzung maximal 10 % der Gesamtprojektfläche und bei paralleler Nutzung maximal 15 %?,,,,,
2418,,,Beträgt der vereinbarte Strompreis maximal 90 % des im jeweiligen Netzgebiet geltenden Grundversorgungstarifs?,,,,,
1946,,,"Beträgt der Wirkungsgrad zentraler Lüftungsanlagen mindestens 80 % oder
dezentraler Lüftungsanlagen mindestens 65 %??",,,,,
2075,Erneuerbare Wärme - Fördermodul Solarthermie und Heizungsmodernisierung,https://www.ifbhh.de/foerderprogramm/erneuerbare-waerme,Beträgt die Bruttokollektorfläche mindestens 20 m²?,,,,,
1577,,,Beträgt die Eigenleistung mindestens 15 % der Modernisierungskosten?,,,,,
2002,,,"Beträgt die Energieerzeugung der Solaranlage(n), die im Rahmen der Dämmmaßnahme errichtet wird, mindestens 20 kWh/m²a bezogen auf die gedämmte Fläche des Daches bzw. des obersten Gebäudeabschlusses?",,,,,
2325,,,Beträgt die Fördersumme mindestens 350 €?,,,,,
1858,,,Beträgt die Gesamtlänge des Netzes mindestens 50 m?,,,,,
2072,EEG - Biomasseanlagen,https://www.bundesnetzagentur.de/DE/Fachthemen/ElektrizitaetundGas/Ausschreibungen/Biomasse/start.html,Beträgt die Leistung Ihrer Anlage über 150 kW und nehmen Sie an den entsprechenden Ausschreibungen teil?,,,,,
2559,,,Beträgt die Scheinleistung der Erzeugungsanlage (Wechselrichter) maximal 600 VA und werden ausschließlich marktreife Bauteile verwendet?,,,,,
1780,,,Beträgt die Wohnfläche jeder Wohneinheit mindestens 35 m² und ist sie für das dauerhafte Wohnen geeignet?,,,,,
1826,Förderung zur Begrünung von Dächern und Fassaden sowie Flächenentsiegelung,https://www.dortmund.de/themen/foerderungen/foerderprogramme/begruenungsfoerderung/,Beträgt die zusammenhängende Fläche der Begrünungsmaßnahme mindestens 10 m²?,,,,,
2264,,,"Bleibt die Gesamtsumme der beantragten Fördermittel pro antragsberechtigte Person unter 10.000 € pro Jahr, davon maximal 2.000 € für Steckersolargeräte?",,,,,
2164,,,Bleibt die landwirtschaftliche Nutzbarkeit der Fläche auch zukünftig gewährleistet?,,,,,
2247,,,Dienen die durchgeführten Maßnahmen der Erhaltung oder sinnvollen Nutzung des Denkmals?,,,,,
2293,,,Dient das Gebäude der Einkunftserzielung und wird nicht selbst genutzt?,,,,,
1583,,,Dient die Maßnahme der Beseitigung oder Behebung von Missständen und Mängeln?,,,,,
2410,,,Dient mindestens 40 % der Fläche des Gebäudes dem Wohnen?,,,,,
2574,,,"Enthält die Maßnahme Materialien oder Stoffe, die zum Förderausschluss führen, z. B.:  
   - FCKW/H-FCKW/CKW-geschäumte Dämmstoffe  
   - Tropenhölzer (außer FSC-zertifiziertes Holz)  
   - Spanplatten der Emissionsklassen 2 und 3  
   - Asbest-, Bitumen-, Formaldehyd- und Isocyanathaltige Materialien  
   - Materialien ohne Zulassung  
   - HBCD-haltige Dämmstoffe  
   - Faserhaltige Dämmstoffe, die in Anhang IV, Nr. 22 (1) der Gefahrstoffverordnung aufgeführt sind?",,,,,
2570,,,"Enthält Ihr Vorhaben bereits erbrachte Lieferungen oder Leistungen, die vor Antragstellung beauftragt wurden?",,,,,
1993,,,"Entspricht das Gebäude den allgemeinen Anforderungen an gesunde Wohn- und Arbeitsverhältnisse, oder sind die Verfügungsberechtigten bereit, bestehende Missstände zu beseitigen?",,,,,
2513,,,Entspricht das Stecker-Solar-Gerät den Sicherheitsstandards der Deutschen Gesellschaft für Sonnenenergie (DGS)?,,,,,
2500,,,Entspricht der Heizwärmebedarf des Gebäudes maximal 35 kWh pro m² im Jahr?,,,,,
2163,,,Entspricht die Anlage den Anforderungen der DIN SPEC 91434:2021-05 oder dem Stand der Technik?,,,,,
2080,,,Entspricht die Barrierefreiheit den Anforderungen gemäß DIN 18040?,,,,,
